"sample_id" "sample"
1 "Bladder4"
2 "Bladder5"
3 "Bladder1"
4 "Bladder2"
5 "Bladder3"
1 "Breast1"
2 "Breast2"
3 "Breast3"
4 "Breast4"
5 "Breast5"
6 "Breast6"
7 "Breast7"
8 "Breast8"
9 "Breast9"
1 "Colorectal1"
2 "Colorectal2"
3 "Colorectal3"
4 "Colorectal4"
5 "Colorectal5"
6 "Colorectal6"
7 "Colorectal7"
8 "Colorectal8"
1 "Glioblastoma1"
2 "Glioblastoma2"
3 "Glioblastoma3"
4 "Glioblastoma4"
5 "Glioblastoma5"
1 "Kidney1"
2 "Kidney2"
3 "Kidney3"
4 "Kidney4"
5 "Kidney5"
1 "Liver1"
2 "Liver2"
3 "Liver3"
4 "Liver4"
5 "Liver5"
1 "Lung1"
2 "Lung2"
3 "Lung3"
4 "Lung4"
5 "Lung5"
6 "Lung6"
7 "Lung7"
1 "Ovarian2"
2 "Ovarian1"
3 "Ovarian3"
4 "Ovarian4"
5 "Ovarian5"
1 "Pancreas1"
2 "Pancreas2"
3 "Pancreas3"
4 "Pancreas4"
5 "Pancreas5"
1 "Prostate1"
2 "Prostate2"
3 "Prostate3"
4 "Prostate4"
