"gene_type" "gene_name"
"1" "lncRNA" "MIR1302-2HG"
"9" "lncRNA" "FAM138A"
"17" "protein_coding" "OR4F5"
"36" "lncRNA" "AL627309.1"
"59" "lncRNA" "AL627309.3"
"63" "lncRNA" "AL627309.2"
"67" "lncRNA" "AL627309.5"
"95" "lncRNA" "AL627309.4"
"99" "lncRNA" "AP006222.2"
"103" "lncRNA" "AL732372.1"
"113" "protein_coding" "OR4F29"
"121" "lncRNA" "AC114498.1"
"128" "protein_coding" "OR4F16"
"136" "lncRNA" "AL669831.2"
"140" "lncRNA" "LINC01409"
"284" "lncRNA" "FAM87B"
"288" "lncRNA" "LINC01128"
"449" "lncRNA" "LINC00115"
"452" "lncRNA" "FAM41C"
"466" "lncRNA" "AL645608.6"
"470" "lncRNA" "AL645608.2"
"474" "lncRNA" "AL645608.4"
"478" "lncRNA" "LINC02593"
"489" "protein_coding" "SAMD11"
"846" "protein_coding" "NOC2L"
"928" "protein_coding" "KLHL17"
"1002" "protein_coding" "PLEKHN1"
"1127" "protein_coding" "PERM1"
"1156" "lncRNA" "AL645608.7"
"1159" "protein_coding" "HES4"
"1198" "protein_coding" "ISG15"
"1228" "lncRNA" "AL645608.1"
"1232" "protein_coding" "AGRN"
"1572" "lncRNA" "AL645608.5"
"1576" "lncRNA" "AL645608.8"
"1580" "protein_coding" "RNF223"
"1590" "protein_coding" "C1orf159"
"1909" "lncRNA" "AL390719.3"
"1913" "lncRNA" "LINC01342"
"1918" "lncRNA" "AL390719.2"
"1921" "lncRNA" "TTLL10-AS1"
"1925" "protein_coding" "TTLL10"
"2048" "protein_coding" "TNFRSF18"
"2103" "protein_coding" "TNFRSF4"
"2134" "protein_coding" "SDF4"
"2249" "protein_coding" "B3GALT6"
"2257" "protein_coding" "C1QTNF12"
"2293" "lncRNA" "AL162741.1"
"2296" "protein_coding" "UBE2J2"
"2571" "lncRNA" "LINC01786"
"2579" "protein_coding" "SCNN1D"
"2798" "protein_coding" "ACAP3"
"3000" "protein_coding" "PUSL1"
"3052" "protein_coding" "INTS11"
"3890" "lncRNA" "AL139287.1"
"3894" "protein_coding" "CPTP"
"3918" "protein_coding" "TAS1R3"
"3936" "protein_coding" "DVL1"
"4079" "protein_coding" "MXRA8"
"4204" "protein_coding" "AURKAIP1"
"4261" "protein_coding" "CCNL2"
"4521" "lncRNA" "MRPL20-AS1"
"4551" "protein_coding" "MRPL20"
"4597" "lncRNA" "AL391244.2"
"4600" "protein_coding" "ANKRD65"
"4653" "lncRNA" "AL391244.1"
"4657" "protein_coding" "TMEM88B"
"4666" "lncRNA" "LINC01770"
"4679" "protein_coding" "VWA1"
"4716" "protein_coding" "ATAD3C"
"4764" "protein_coding" "ATAD3B"
"4871" "protein_coding" "ATAD3A"
"5063" "protein_coding" "TMEM240"
"5101" "protein_coding" "SSU72"
"5134" "lncRNA" "AL645728.1"
"5140" "protein_coding" "FNDC10"
"5148" "lncRNA" "AL691432.4"
"5153" "lncRNA" "AL691432.2"
"5156" "protein_coding" "MIB2"
"5805" "protein_coding" "MMP23B"
"5928" "protein_coding" "CDK11B"
"6305" "lncRNA" "FO704657.1"
"6309" "protein_coding" "SLC35E2B"
"6387" "protein_coding" "CDK11A"
"6835" "protein_coding" "SLC35E2A"
"6896" "protein_coding" "NADK"
"7116" "protein_coding" "GNB1"
"7271" "lncRNA" "AL109917.1"
"7275" "protein_coding" "CALML6"
"7316" "protein_coding" "TMEM52"
"7377" "protein_coding" "CFAP74"
"7604" "lncRNA" "AL391845.2"
"7612" "protein_coding" "GABRD"
"7858" "lncRNA" "AL391845.1"
"7866" "protein_coding" "PRKCZ"
"8271" "lncRNA" "AL590822.2"
"8274" "lncRNA" "PRKCZ-AS1"
"8282" "protein_coding" "FAAP20"
"8428" "lncRNA" "AL590822.1"
"8432" "protein_coding" "SKI"
"8462" "lncRNA" "AL590822.3"
"8472" "protein_coding" "MORN1"
"8606" "lncRNA" "AL589739.1"
"8609" "lncRNA" "AL513477.2"
"8612" "protein_coding" "RER1"
"8740" "protein_coding" "PEX10"
"8860" "protein_coding" "PLCH2"
"9092" "lncRNA" "AL139246.1"
"9096" "lncRNA" "AL139246.4"
"9100" "protein_coding" "PANK4"
"9342" "protein_coding" "HES5"
"9354" "lncRNA" "AL139246.5"
"9360" "lncRNA" "TNFRSF14-AS1"
"9386" "protein_coding" "TNFRSF14"
"9552" "lncRNA" "AL139246.3"
"9557" "protein_coding" "PRXL2B"
"9741" "protein_coding" "MMEL1"
"9917" "lncRNA" "AL831784.1"
"9921" "protein_coding" "TTC34"
"9964" "lncRNA" "AC242022.2"
"9969" "lncRNA" "AC242022.1"
"9981" "lncRNA" "AL592464.2"
"9985" "lncRNA" "AL592464.3"
"9989" "lncRNA" "AL592464.1"
"9993" "lncRNA" "AL589702.1"
"10002" "protein_coding" "ACTRT2"
"10010" "lncRNA" "PRDM16-DT"
"10054" "protein_coding" "PRDM16"
"10274" "lncRNA" "AL008733.1"
"10278" "lncRNA" "AL590438.1"
"10281" "lncRNA" "AL354743.2"
"10285" "lncRNA" "AL354743.1"
"10289" "protein_coding" "ARHGEF16"
"10422" "lncRNA" "AL512413.1"
"10425" "protein_coding" "MEGF6"
"10678" "lncRNA" "AL513320.1"
